"Timestamp (IST)","City","State / Region","Country","Country Code","Page Visited","Page Title","Device","Browser","OS","Referrer","Visitor ID","Session ID","IP Address"
"2026-09-17 12:53:28 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 12:53:28 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 12:53:38 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 12:53:38 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 12:58:05 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 12:58:05 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 12:58:25 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 12:58:40 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 12:58:40 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 12:58:48 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/services/CAservices/company-incorporation","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 12:59:28 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 12:59:52 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/services/CAservices/company-incorporation","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 13:03:45 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 13:04:02 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 13:04:08 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/services/CAservices/company-incorporation","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 13:04:28 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 13:04:56 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/services/CAservices/company-incorporation","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 13:04:56 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 13:06:12 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/services/CAservices/company-incorporation","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 13:08:42 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 13:09:46 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/services/CAservices/company-incorporation","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 13:09:46 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 13:09:46 IST","Localhost / India","Internal Dev","India","IN","/company/about-us","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 13:10:24 IST","Localhost / India","Internal Dev","India","IN","/company/about-us","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/company/about-us","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 13:10:25 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 13:10:35 IST","Localhost / India","Internal Dev","India","IN","/services/CAservices/company-incorporation","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/services/CAservices/company-incorporation","vid_6e6nu18nmu56wbox","sid_qt3ynf5emu5781xi","::1"
"2026-09-17 13:10:47 IST","Localhost / India","Internal Dev","India","IN","/company/about-us","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/company/about-us","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
"2026-09-17 13:10:48 IST","Localhost / India","Internal Dev","India","IN","/","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/","vid_dnsm53dgmu56d0ny","sid_zvo50q5dmu56d0o1","::1"
"2026-09-17 13:11:21 IST","Localhost / India","Internal Dev","India","IN","/company/about-us","FoundingLegals Complete Startup Legal & Compliance Platform for India","Desktop","Chrome","Windows","http://localhost:3001/company/about-us","vid_dnsm53dgmu56d0ny","sid_5on7dh7pmu56lik1","::1"
